Time [10ms],UTC,Lat [deg],Lon [deg],Alt [m],SpeedKMh,Course [deg],Fix,NumSat,HDOP
1,121806.20,47.337697,8.567737,410.600000,4.435540,161.470000,1,12,0.700000
7,121806.40,47.337694,8.567738,410.600000,,,1,12,0.700000
21,121806.60,47.337692,8.567739,,4.229968,158.370000,0,0,
24,121806.60,47.337692,8.567739,410.700000,,,1,12,0.700000
41,121806.80,47.337690,8.567741,,4.504064,154.640000,0,0,
43,121806.80,47.337690,8.567741,410.800000,,,1,12,0.700000
62,121807.00,47.337687,8.567742,,4.783716,155.100000,0,0,
64,121807.00,47.337687,8.567742,410.800000,,,1,12,0.700000
83,121807.20,47.337685,8.567743,,4.331828,153.740000,0,0,
85,121807.20,47.337685,8.567743,410.800000,,,1,12,0.700000
102,121807.40,47.337683,8.567743,,4.087364,163.030000,0,0,
104,121807.40,47.337683,8.567743,410.700000,,,1,12,0.700000
122,121807.60,47.337680,8.567743,,4.846684,172.180000,0,0,
124,121807.60,47.337680,8.567743,410.700000,,,1,12,0.700000
141,121807.80,47.337677,8.567742,,4.513324,178.390000,0,0,
143,121807.80,47.337677,8.567742,410.500000,,,1,12,0.700000
161,121808.00,47.337675,8.567742,,3.981800,180.310000,0,0,
163,121808.00,47.337675,8.567742,410.600000,,,1,12,0.700000
181,121808.20,47.337673,8.567743,,4.002172,170.310000,0,0,
183,121808.20,47.337673,8.567743,410.600000,,,1,12,0.670000
201,121808.40,47.337672,8.567743,,3.274336,169.020000,0,0,
203,121808.40,47.337672,8.567743,410.600000,,,1,12,0.670000
221,121808.60,47.337669,8.567745,,3.902164,162.590000,0,0,
222,121808.60,47.337669,8.567745,410.600000,,,1,12,0.670000
241,121808.80,47.337667,8.567746,,4.013284,163.060000,0,0,
244,121808.80,47.337667,8.567746,410.500000,,,1,12,0.670000
261,121809.00,47.337665,8.567747,,4.574440,163.510000,0,0,
264,121809.00,47.337665,8.567747,410.500000,,,1,12,0.670000
281,121809.20,47.337663,8.567748,,4.505916,163.740000,0,0,
284,121809.20,47.337663,8.567748,410.500000,,,1,12,0.670000
301,121809.40,47.337660,8.567748,,4.231820,165.150000,0,0,
303,121809.40,47.337660,8.567748,410.500000,,,1,12,0.670000
321,121809.60,47.337659,8.567749,,3.822528,163.900000,0,0,
323,121809.60,47.337659,8.567749,410.500000,,,1,12,0.670000
340,121809.80,47.337657,8.567751,,3.924388,155.800000,0,0,
342,121809.80,47.337657,8.567751,410.500000,,,1,12,0.700000
362,121810.00,47.337655,8.567751,,3.318784,158.240000,0,0,
364,121810.00,47.337655,8.567751,410.500000,,,1,12,0.700000
381,121810.20,47.337654,8.567753,,3.155808,156.440000,0,0,
383,121810.20,47.337654,8.567753,410.400000,,,1,12,0.670000
401,121810.40,47.337653,8.567753,,2.700216,161.040000,0,0,
403,121810.40,47.337653,8.567753,410.400000,,,1,12,0.670000
420,121810.60,47.337651,8.567754,,3.148400,163.320000,0,0,
422,121810.60,47.337651,8.567754,410.500000,,,1,12,0.670000
438,121810.80,47.337650,8.567754,,2.890972,167.060000,0,0,
440,121810.80,47.337650,8.567754,410.500000,,,1,12,0.670000
462,121811.00,47.337648,8.567755,,2.740960,164.650000,0,0,
465,121811.00,47.337648,8.567755,410.500000,,,1,12,0.700000
483,121811.20,47.337646,8.567755,,2.450196,163.710000,0,0,
485,121811.20,47.337646,8.567755,410.400000,,,1,12,0.700000
502,121811.40,47.337645,8.567756,,2.513164,158.300000,0,0,
504,121811.40,47.337645,8.567756,410.300000,,,1,12,0.700000
